file,ID,line,functional,Function,Behavior,Data,OnlyF,F,OnlyQ,Q,UserRelated
RQ1.txt,RQ1.txt.flow_of_events.0,REQUIREMENT This document profiles certificate enrollment for clients using Certificate Management over CMS CMC RFC messages over a secure transport,1,1,0,0,1,1,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.1,Enrollment over Secure Transport EST describes the use of Transport Layer Security TLS RFC RFC or any future version and Hypertext Transfer Protocol HTTP RFC to provide an authenticated and authorized channel for Simple Public Key Infrastructure PKI Requests and Responses RFC,1,1,0,0,1,1,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.2,Architecturally the EST service is located between a Certification Authority CA and a client,0,0,0,0,0,0,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.3,It performs several functions traditionally allocated to the Registration Authority RA role in a PKI,1,0,0,0,1,1,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.4,The nature of communication between an EST server and a CA is not described in this document,0,0,0,0,0,0,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.5,EST adopts the Certificate Management Protocol CMP RFC model for CA certificate rollover but it does not use the CMP message syntax or protocol,1,1,0,0,1,1,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.6,EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC RFC and this document defines two such extensions one for requesting Certificate Signing Request attributes and another for requesting server-generated keys,0,1,0,1,0,1,0,1,0
RQ1.txt,RQ1.txt.flow_of_events.7,EST specifies how to transfer messages securely via HTTP over TLS HTTPS RFC where the HTTP headers and media types are used in conjunction with TLS,1,1,0,1,1,1,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.8,HTTPS operates over TCP this document does not specify EST over HTTP Datagram Transport Layer Security User Datagram Protocol HTTPDTLSUDP,0,0,0,0,0,0,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.9,With a suitable specification for combining HTTP DTLS and UDP there are no EST requirements that would prevent it from working over such a stack,0,0,0,0,0,0,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.10,Figure shows how the layers build upon each other,0,0,0,0,0,0,0,0,0
RQ1.txt,RQ1.txt.flow_of_events.11,EST Layering Protocols -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- EST requestresponse messages -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- HTTP for message transfer and signaling -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- TLS for transport security -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- TCP for transport -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- Figure,0,0,0,0,0,0,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.0,The key words MUST '' MUST NOT '' REQUIRED '' SHALL '' SHALL NOT '' SHOULD '' SHOULD NOT '' RECOMMENDED '' NOT RECOMMENDED '' MAY '' and OPTIONAL '' in this document are to be interpreted as described in RFC,0,0,0,0,0,0,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.1,It is assumed that the reader is familiar with the terms and concepts described in Public Key Cryptography Standard PKCS RFC HTTPS RFC CMP RFC CMC RFC RFC RFC and TLS RFC,0,0,0,0,0,0,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.2,In addition to the terms defined in the terminology section of CMC RFC the following terms are defined for clarity EST CA For certificate issuing services the EST CA is reached through the EST server the CA could be logically behind '' the EST server or embedded within it,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.3,Third- Party Trust Anchor Any trust anchor TA that is not authoritative for the PKI hierarchy for which the EST server is providing services,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.4,Explicit Trust Anchor Any TA that is explicitly configured on the client or server for use during EST TLS authentication for example a TA that is manually configured on the EST client or bootstrapped as described in Section,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.5,See more details in Sections and,0,0,0,0,0,0,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.6,Implicit Trust Anchor Any third-party TA that is available on the client or server for use during TLS authentication but is not specifically indicated for use during EST TLS authentication for example T As commonly used by web browsers to authenticate web servers or T As used by servers to authenticate manufacturer- installed client credentials such as certificates populated into cable modems or routers in the factory,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.7,The authorization model for these T As is different from the authorization model for Explicit Trust Anchors,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.8,See more details in Sections and,0,0,0,0,0,0,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.9,Certificate- Less TLS Certificate-less TLS cipher suites provide a way to perform mutual authentication in situations where neither the client nor server have certificates or are willing to use them,1,0,0,0,1,1,0,0,0
RQ2.txt,RQ2.txt.flow_of_events.10,The credential used for authentication is a word phrase code or key that is shared between the client and server,1,0,0,0,1,1,0,0,0
