file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,inizializza/0,conferma2,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,inizializza/0,conferma1,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,inizializza/0,annulla1,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,inizializza/0,annulla2,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_stanza_supp,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_supp,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_mot_supp,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_stanza_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_stanza_rid,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_mot_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_mot_supp,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,conferma2,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,conferma1,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,annulla1,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_stanza_supp,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,annulla2,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,tf_supp,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,setupNuovi/0,label_mot_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AvvisoLocale,"AvvisoLocale/2[interfacce.AggiungiSoggiornante,java.lang.String]",padre,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AvvisoLocale,"AvvisoLocale/2[interfacce.AggiungiSoggiornante,java.lang.String]",OK,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AvvisoLocale,init/0,OK,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,startConferma/0,prenotazione,19
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,startConferma/0,stanza,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,startConferma/0,num_sogg,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,inizializza/0,prenotazione,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,inizializza/0,stanza,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,"AggiungiSoggiornante/4[interfacce.RicercaPrenotazione,interfacce.Prenotazione,interfacce.Stanza,int]",prenotazione,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,"AggiungiSoggiornante/4[interfacce.RicercaPrenotazione,interfacce.Prenotazione,interfacce.Stanza,int]",stanza,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiSoggiornante.java,interfacce.AggiungiSoggiornante,"AggiungiSoggiornante/4[interfacce.RicercaPrenotazione,interfacce.Prenotazione,interfacce.Stanza,int]",num_sogg,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,button2,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,gridbag,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,panel1,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,panel2,5
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,message,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,setupPanel/0,button1,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,startAzione/0,padre,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,AskChiudiConto/1[interfacce.MascheraVisualizzazioneConto],padre,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,init/0,button2,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiConto.java,interfacce.AskChiudiConto,init/0,button1,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,button2,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,gridbag,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,panel1,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,panel2,5
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,message,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,setupPanel/0,button1,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,startAzione/0,padre,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,init/0,button2,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,init/0,button1,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AskChiudiSingoloConAgenzia.java,interfacce.AskChiudiSingoloConAgenzia,AskChiudiSingoloConAgenzia/1[interfacce.MascheraCalcoloConto],padre,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,initialize/0,conferma_canc,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,initialize/0,annulla_canc,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,initialize/0,annulla3,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,beneSelezionato/0,extra,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,beneSelezionato/0,prezzo,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,beneSelezionato/0,desc,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,elenco_extra1,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,elenco_extra2,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,desc_extra,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,prezzo,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,px_extra,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,conferma_canc,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,annulla_canc,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,annulla3,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,setupPannello/0,desc,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,startConfermaCanc/0,extra,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,startConfermaCanc/0,prezzo,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaBeniServizi.java,interfacce.CancellaBeniServizi,startConfermaCanc/0,desc,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaCommissioni.java,interfacce.CancellaCommissioni,startAzione/0,commissione,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaPrenotazione.java,interfacce.CancellaPrenotazione,startCancella/0,p,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaPrenotazione.java,interfacce.CancellaPrenotazione,startCancella/0,parent,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaPrenotazione.java,interfacce.CancellaPrenotazione,init/0,p,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaPrenotazione.java,interfacce.CancellaPrenotazione,"CancellaPrenotazione/3[interfacce.Prenotazione,interfacce.Stanza,interfacce.RicercaPrenotazione]",p,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/CancellaPrenotazione.java,interfacce.CancellaPrenotazione,"CancellaPrenotazione/3[interfacce.Prenotazione,interfacce.Stanza,interfacce.RicercaPrenotazione]",parent,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,startOK/0,testo3,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,startOK/0,dialog,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,startOK/0,pwd_passata,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,setup/0,msg,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,setup/0,testo3,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,setup/0,gridbag,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,setup/0,pannello,6
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,setup/0,OK,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,Messaggio/1[java.lang.String],pwd_passata,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,init/0,testo3,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Messaggio,init/0,OK,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Avviso,init/0,OK,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/ConfigurazioneSistema.java,interfacce.Avviso,esci/0,padre,1
