file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous2,itemStateChanged/1[java.awt.event.ItemEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous1,itemStateChanged/1[java.awt.event.ItemEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],e,0
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",msg,6
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",da_addebitare,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",mot,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",nuove_quantita_mod,9
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",sup_rid,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",stanza,4
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",px,3
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",i,9
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",j,6
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"scriviSuDB/3[java.lang.String,java.lang.String,java.lang.String]",L_sogg,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,AggiungiBeneServizio/1[java.awt.Frame],parent,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"inComuneDE/2[int,char]",numero_pannello,2
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"inComuneDE/2[int,char]",c,1
/work/Papiere/finegrained-traceability/datasets/albergate/code/AggiungiBeneServizio.java,interfacce.AggiungiBeneServizio,"inComuneDE/2[int,char]",i,4
