ProjectID,file,ID,text,functional,Function,Behavior,Data,OnlyF,F,OnlyQ,Q,UserRelated
1,promise_reclass.csv,,The system shall refresh the display every 60 seconds.,1,0,1,0,0,1,0,1,0
1,promise_reclass.csv,,The application shall match the color of the schema set forth by Department of Homeland Security,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,1,1,1,0,0,1,0,1,0
1,promise_reclass.csv,,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The product shall respond fast to keep up-to-date data in the display.,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1,0,0,1,1,1,0,0,0
1,promise_reclass.csv,,The system shall display Events in a vertical table by time.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall display the Events in a graph by time.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall display Events or Activities.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,0,0,0,0,0,0,0,0,0
1,promise_reclass.csv,,The table side of the display shall be split into 2 regions: sequential and temporal.,0,0,0,0,0,0,1,1,0
1,promise_reclass.csv,,The top 1/4 of the table will hold events that are to occur sequentially.,1,0,0,1,0,1,0,1,0
1,promise_reclass.csv,,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,1,0,0,1,0,1,0,1,0
1,promise_reclass.csv,,The system shall color code events according to their variance from current time.,1,1,0,0,0,1,0,1,0
1,promise_reclass.csv,,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,1,1,0,0,0,1,0,1,0
1,promise_reclass.csv,,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,1,1,0,0,0,1,0,1,0
1,promise_reclass.csv,,The system shall allow modification of the display.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall offer a display of all the Events in the exercise.,1,0,0,1,1,1,0,0,0
1,promise_reclass.csv,,The system shall filter data by: Venues and Key Events.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall allow a user to define the time segments,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall display the local and exercise time in separate clocks,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall offer the ability to pause and resume the refresh of data.,1,1,0,0,1,1,0,0,0
1,promise_reclass.csv,,The system shall provide charts for the Activity or Event actual versus assumed time.,1,1,0,1,1,1,0,0,0
1,promise_reclass.csv,,The system shall provide a history report of changes made to the Activity or Event data,1,1,0,1,1,1,0,0,0
2,promise_reclass.csv,,The look and feel of the system shall conform to the user interface standards of the smart device.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The user interface shall have standard menus buttons for navigation,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The system shall have a professional appearance,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall have a consistent color scheme and fonts.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The system shall be used by realtors with no training.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The system shall be intuitive and self explanatory.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall be easy for a realtor to learn.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall use symbols and words that are naturally understandable by the realtor community.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall produce search results in an acceptable time,1,1,0,0,0,1,0,1,0
2,promise_reclass.csv,,The search results shall be returned no later 30 seconds after the user has entered the search criteria,1,0,1,0,0,1,0,1,0
2,promise_reclass.csv,,The product shall generate a CMA report in an acceptable time.,1,1,0,0,0,1,0,1,0
2,promise_reclass.csv,,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,1,0,1,0,0,1,0,1,0
2,promise_reclass.csv,,The product shall synchronize contacts and appointments in an acceptable time.,1,1,0,0,0,1,0,1,0
2,promise_reclass.csv,,The product shall synchronize with the office system every hour.,1,0,1,0,0,1,0,1,0
2,promise_reclass.csv,,The product shall be available for use 24 hours per day 365 days per year,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,Out of 1000 accesses to the system the system is available 999 times.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall operate in offline mode whenever internet connection is unavailable.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The product shall retain user preferences in the event of a failure.,1,0,1,1,1,1,0,0,0
2,promise_reclass.csv,,100% of saved user preferences shall be restored when system comes back online.,1,0,1,1,0,1,0,1,0
2,promise_reclass.csv,,The product shall be able to support multiple remote users,1,0,1,0,1,1,0,0,0
2,promise_reclass.csv,,The product shall be able support 1000 simultaneous users.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,90% of untrained realtors shall be able to install the product on their device without printed instructions,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The product is expected to run on Windows CE and Palm operating systems.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,Only registered realtors shall be able to access the system.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,Every user of the system shall be authenticated and authorized.,1,1,0,0,0,1,0,1,0
2,promise_reclass.csv,,The product shall prevent its data from incorrect data being introduced.,0,0,0,0,0,0,1,1,0
2,promise_reclass.csv,,The system shall allow a real estate agent to query MLS information,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The user shall be able to get driving directions to a selected property,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The user shall be able to download appointments and contact information for clients,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The system shall display clear property images in the search results,1,0,1,1,1,1,0,0,0
2,promise_reclass.csv,,The system shall update or create new property listings in the MLS,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,Realtor shall be able to generate a CMA report based on property criteria,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The system shall be able to call the seller or buyer to schedule an appointment,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The realtor shall be notified of new client appointments after automatic synchronization with office system,1,0,1,0,1,1,0,0,0
2,promise_reclass.csv,,The realtor shall be able to retrieve a map showing property locations for a specified area,1,1,0,0,1,1,0,0,0
2,promise_reclass.csv,,The system shall notify the realtor when a seller or buyer responds to an appointment request,1,0,1,0,1,1,0,0,0
2,promise_reclass.csv,,The product shall allow the user to save the property search results.,1,1,0,0,1,1,0,0,0
3,promise_reclass.csv,,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,All of the users shall be able to use the system after one day of training.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The number of mistakes noted by the students shall be decreased by 50% in the first year.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,1,1,0,0,0,1,0,1,0
3,promise_reclass.csv,,The system shall use symbols and words that are naturally understandable by the user community.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Staff members shall be able to complete a set of tasks in a timely manner.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall be available for use between the hours of 8am and 6pm.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall achieve 95% up time.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,system shall be able to handle all of the user requests/usage during business hours.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall cater to 10 simultaneous users from 9am to 5pm.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,1,1,0,0,0,1,0,1,0
3,promise_reclass.csv,,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall operate within the Windows XP Professional operating system.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall interface with CampusConnect’s central server,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall interface with the faculty central server.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall interface with the student master server.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,We must be able to interface with any HTML browser.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Only authorized users shall have access to clinical site information.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Only authorized users shall have access to students’ personal information.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,0,0,0,0,0,0,1,1,0
3,promise_reclass.csv,,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,1,1,0,0,0,1,0,1,0
3,promise_reclass.csv,,The system shall protect private information in accordance with the organization’s information policy.,1,1,0,0,0,1,0,1,0
