file,ID,text,functional,Function,Behavior,Data,OnlyF,F,OnlyQ,Q,UserRelated
EA1.txt,EA1.txt.actor,Initiated by administrator,0,0,0,0,0,0,0,0,1
EA1.txt,EA1.txt.flow_of_events.0,The administrator logs in to the system,1,0,0,0,1,1,0,0,1
EA1.txt,EA1.txt.flow_of_events.1,The system displays the login form for data entry user name and password,1,1,1,1,1,1,0,0,0
EA1.txt,EA1.txt.flow_of_events.2,The administrator enters the data and submits the authentication request,1,0,0,0,1,1,0,0,1
EA1.txt,EA1.txt.flow_of_events.3,The system receives the form verifies the data and allows the administrator access to the system with the access permissions specified,1,1,1,0,1,1,0,0,0
EA1.txt,EA1.txt.name,Authentication Administrator,1,1,1,1,1,1,0,0,0
EA1.txt,EA1.txt.postcondition,The system allows the administrator access OR In case the administrator enters incorrect login andor password the system calls the use case Data Errati OR In case the service is not available the use case Service Not Available is called,1,0,1,1,1,1,0,0,1
EA1.txt,EA1.txt.precondition,The 'administrator has been granted access to the system,0,0,0,0,0,0,0,0,1
EA1.txt,EA1.txt.quality_requirement,The username string is present in the system is well-formed contains characters az AZ - edlength less than characters and is not empty The password string is present in the system is well formed contains characters az AZ - and has a length between and characters,0,0,0,0,0,0,0,0,0
EA2.txt,EA2.txt.actor,Started by Citizen,0,0,0,0,0,0,0,0,1
EA2.txt,EA2.txt.flow_of_events.0,Citizen logs in to the authentication session,1,0,0,0,1,1,0,0,1
EA2.txt,EA2.txt.flow_of_events.1,The system displays the login form for data entry username and password,1,1,1,1,1,1,0,0,0
EA2.txt,EA2.txt.flow_of_events.2,The citizen enters the data and submits the authentication request,1,0,0,0,1,1,0,0,1
EA2.txt,EA2.txt.flow_of_events.3,The system verifies the accuracy of the data and allows the citizen to log in,1,1,1,0,1,1,0,0,0
EA2.txt,EA2.txt.name,Authentication Citizen,1,1,1,1,1,1,0,0,0
EA2.txt,EA2.txt.postcondition,The citizen has successfully logged in OR In the case where the citizen enters incorrect login andor password the system calls the use case Data Errati OR In case the service is not available the use case Service Not Available is called,1,0,1,1,1,1,0,0,1
EA2.txt,EA2.txt.precondition,The citizen has been granted access in the system,0,0,0,0,0,0,0,0,1
EA2.txt,EA2.txt.quality_requirement,The username string is present in the system is well-formed contains characters az AZ - edlength less than characters and is not empty The password string is present in the system is well formed contains characters az AZ - and has a length between and characters,0,0,0,0,0,0,0,0,0
EA3.txt,EA3.txt.actor,Initiated by employee,0,0,0,0,0,0,0,0,1
EA3.txt,EA3.txt.flow_of_events.0,Employee logs in to the authentication session,1,0,0,0,1,1,0,0,1
EA3.txt,EA3.txt.flow_of_events.1,The system displays the login form for data entry username and password,1,1,1,1,1,1,0,0,0
EA3.txt,EA3.txt.flow_of_events.2,The employee enters the data and submits the authentication request,1,0,0,0,1,1,0,0,1
EA3.txt,EA3.txt.flow_of_events.3,The system verifies the accuracy of the data and allows the employee to log in,1,1,1,0,1,1,0,0,0
