file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,class,2,8,1,7,0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,27,7,0,0,0,0,0,0,1,0,1,0,0,0,0,73,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,class,0,9,1,0,0,0.6666667,1.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,36,4,0,0,0,0,3,0,9,1,3,0,0,0,0,43,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,class,2,10,1,8,0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,32,9,0,0,0,0,3,1,2,0,2,2,0,0,0,81,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Amministratore.java,Bean.Amministratore,class,0,13,1,0,2,0.4871795,1.0,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,54,6,0,0,0,0,5,0,15,1,5,0,0,0,0,47,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/CartaIdentita.java,Bean.CartaIdentita,class,1,33,1,16,324,0.19318181,0.93939394,33,0,33,0,0,0,33,0,0,0,15,0,0,15,0,0,0,0,0,160,16,0,0,0,0,32,6,61,1,17,0,0,0,0,117,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/CIManager.java,Manager.CIManager,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,52,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Cittadino.java,Bean.Cittadino,class,2,25,1,11,164,0.22666667,0.92,25,0,25,0,0,0,25,0,0,0,11,0,0,11,0,0,0,0,0,113,11,0,0,0,0,22,0,36,1,11,0,0,0,0,74,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/CittadinoManager.java,Manager.CittadinoManager,class,2,11,1,10,0,1.0,1.0,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,36,10,0,0,0,0,0,0,1,0,1,0,0,0,0,102,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Comune.java,Bean.Comune,class,0,6,1,0,3,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,24,4,0,0,0,0,0,0,4,0,2,0,0,0,0,37,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/ControllerFiles.java,Servlet.ControllerFiles,class,6,5,2,15,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,2,0,9,2,12,3,11,3,0,0,0,51,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbAccesso.java,DB.DbAccesso,class,3,40,1,16,0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,191,9,1,14,15,3,28,18,48,0,31,3,0,0,0,107,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbAmministratore.java,DB.DbAmministratore,class,3,43,1,18,0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,217,11,2,14,15,3,42,22,65,0,49,3,0,0,0,108,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbCambioResidenza.java,DB.DbCambioResidenza,class,4,5,1,4,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,18,3,0,0,1,0,1,0,1,0,1,1,0,0,0,80,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbCartaIdentita.java,DB.DbCartaIdentita,class,3,58,1,33,0,1.0,1.0,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,1,299,10,0,25,21,8,61,53,88,8,70,3,0,0,0,147,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbCittadino.java,DB.DbCittadino,class,4,90,1,31,0,1.0,1.0,16,0,15,1,0,0,15,0,0,0,1,0,0,1,0,0,0,0,1,412,16,1,39,31,8,83,52,105,4,75,3,0,0,0,173,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbComune.java,DB.DbComune,class,3,18,1,11,0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,83,4,0,6,7,2,12,8,19,0,12,3,0,0,0,81,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbConnection.java,DB.DbConnection,class,3,8,1,10,0,0.33333334,0.33333334,4,3,2,2,0,0,3,0,0,1,2,2,0,2,0,0,0,0,2,37,1,0,0,1,0,8,0,4,0,3,1,0,0,0,67,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbException.java,DB.DbException,class,0,2,4,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,25,1,0
/work/Papiere/finegrained-traceability/datasets/eANCI/code/DbImpiegato.java,DB.DbImpiegato,class,3,43,1,18,0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,217,11,2,14,15,3,42,22,65,0,49,3,0,0,0,106,1,0
