file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,inserisciAccesso/1[Bean.Accesso],ac,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,"controllaAccesso/2[java.lang.String,java.lang.String]",password,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,"controllaAccesso/2[java.lang.String,java.lang.String]",login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,controllaLogin/1[java.lang.String],login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,"modificaAccesso/2[java.lang.String,Bean.Accesso]",newAccesso,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,"modificaAccesso/2[java.lang.String,Bean.Accesso]",login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,eliminaAccesso/1[java.lang.String],login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AccessManager.java,Manager.AccessManager,getAccesso/1[java.lang.String],login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,"Accesso/3[java.lang.String,java.lang.String,java.lang.String]",Tipo,2
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,"Accesso/3[java.lang.String,java.lang.String,java.lang.String]",Login,2
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,"Accesso/3[java.lang.String,java.lang.String,java.lang.String]",Password,2
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,setTipo/1[java.lang.String],tipo,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,setLogin/1[java.lang.String],login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Accesso.java,Bean.Accesso,setPassword/1[java.lang.String],password,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,inserisciAdmin/1[Bean.Amministratore],newAdmin,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,getAmministratoreByLogin/1[java.lang.String],login,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,"modificaAdmin/2[java.lang.String,Bean.Amministratore]",newAdmin,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,"modificaAdmin/2[java.lang.String,Bean.Amministratore]",matricola,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,ricercaAdminByMatricola/1[java.lang.String],matricola,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,eliminaAmministratore/1[java.lang.String],matricola,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,eliminaAmministratore/1[java.lang.String],Amministratori,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,"getAmministratoreByName/2[java.lang.String,java.lang.String]",nomeAmm,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/AdminManager.java,Manager.AdminManager,"getAmministratoreByName/2[java.lang.String,java.lang.String]",cognAmm,1
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Amministratore.java,Bean.Amministratore,"Amministratore/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",Matricola,2
/work/Papiere/finegrained-traceability/datasets/eANCI/code/Amministratore.java,Bean.Amministratore,"Amministratore/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",Email,2
