file,ID,text
EA46.txt,EA46.txt.name,Check Sickness
EA46.txt,EA46.txt.actor,Started by User
EA46.txt,EA46.txt.precondition,The user has accessed the system and selected the Social Assistance feature
EA46.txt,EA46.txt.postcondition,The user viewed the page OR The system encountered an unanticipated error then called the use case Service Not Available
EA46.txt,EA46.txt.quality_requirement,Unanticipated
EA46.txt,EA46.txt.flow_of_events.0,User selects Request sickness allowance ''
EA46.txt,EA46.txt.flow_of_events.1,The system displays the page with the information for requesting the INPS office for the sickness check also allowing the user to print it out
EA136.txt,EA136.txt.name,Forms
EA136.txt,EA136.txt.actor,Initiated by Citizen
EA136.txt,EA136.txt.precondition,The Citizen is logged in
EA136.txt,EA136.txt.postcondition,The download has been initialized OR In case there are general errors the system calls the use case Service Not Available
EA136.txt,EA136.txt.quality_requirement,Not expected
EA136.txt,EA136.txt.flow_of_events.0,Citizen clicks button to access forms section
EA136.txt,EA136.txt.flow_of_events.1,The System redirects the Citizen to the required section and displays the various forms available for download
EA136.txt,EA136.txt.flow_of_events.2,The Citizen selects the desired form
EA136.txt,EA136.txt.flow_of_events.3,The System starts the download
EA111.txt,EA111.txt.name,Risks
EA111.txt,EA111.txt.actor,Initiated by Citizen
EA111.txt,EA111.txt.precondition,The Citizen is authenticated in the municipal system OR The Citizen has accessed the municipal system
EA111.txt,EA111.txt.postcondition,The Citizen is satisfied with the information sheet and decides to recall the sheets about other hazards that Civil Defense deals with OR The Citizen has no opportunity to view the initial screen so the use case Service Not Available which handles Technical Failure cases will be extended
EA111.txt,EA111.txt.quality_requirement,The Citizen correctly displays the initial risk section therefore the system takes time in the hundredths of a second range to satisfy the requirement OR If the display of the section does not occur the system takes seconds in the range of -
EA111.txt,EA111.txt.flow_of_events.0,The Citizen accesses the screen about the meanings of the hazards that Civil Defense deals with with specific images for each hazard category and videos of how it operates during rescue operations
EA111.txt,EA111.txt.flow_of_events.1,The system responds to the Citizen 's request with a screen where there are causes meanings about landslides floods and coastal erosion phenomena and videos of interventions
EA111.txt,EA111.txt.flow_of_events.2,The Citizen after viewing the descriptive sheet may want to know the causes of other hazards that the body deals with and therefore decides to view them by activating the use cases Fire Volcanic Seismic Sanitary Antropic Hydrological monitoring
EA111.txt,EA111.txt.flow_of_events.3,The system also makes available additional fact sheets on other hazards that Civil Defense deals with
EA118.txt,EA118.txt.name,Calculate Amount
EA118.txt,EA118.txt.actor,Started by Citizen
EA118.txt,EA118.txt.precondition,The Citizen must be connected to the system
EA118.txt,EA118.txt.postcondition,The Citizen receives the information of interest OR In the event that there is an error in data entry or the amount can not be calculated the System calls the use case Calculate Import Unsuccessful OR In the case where there are errors in the data entered by the citizen the System calls the use case Data Errata OR In case there are generic errors the system calls the use case Service Not Available
EA118.txt,EA118.txt.quality_requirement,None
EA118.txt,EA118.txt.flow_of_events.0,The Citizen presses the button related to the tax calculation function
EA118.txt,EA118.txt.flow_of_events.1,The System presents the list of taxes and fees for which the amount can be calculated
EA118.txt,EA118.txt.flow_of_events.2,The Citizen selects the tax of interest
EA118.txt,EA118.txt.flow_of_events.3,The System shows a form to be filled in for calculation
EA118.txt,EA118.txt.flow_of_events.4,The Citizen enters the necessary data
EA118.txt,EA118.txt.flow_of_events.5,The System verifies the correctness of the data computes the amount and shows it to the Citizen
EA121.txt,EA121.txt.name,ICI
EA121.txt,EA121.txt.actor,Initiated by Citizen
