file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,clearNews/1[int],dbNews,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,getAllNews/0,dbNews,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,modifyNews/1[unisa.gps.etour.bean.BeanNews],dbNews,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,insertNews/1[unisa.gps.etour.bean.BeanNews],dbNews,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,AdvertisementAgencyManager/0,dbNews,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],dbBanner,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",dbBanner,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,AdvertisementManager/0,dbBanner,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,clearBanner/1[int],dbBanner,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"insertBanner/2[int,javax.swing.ImageIcon]",dbBanner,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/Authentication.java,unisa.gps.etour.control.RegisteredUserManager.Authentication,"login/3[java.lang.String,java.lang.String,byte]",tourist,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Authentication.java,unisa.gps.etour.control.RegisteredUserManager.Authentication,"login/3[java.lang.String,java.lang.String,byte]",bTourist,4
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnSearch/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnSearch/0,btnSearch,8
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnActive/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnActive/0,btnActive,10
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getTreeBanner/0,JScrollPane,5
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getTreeBanner/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getTreeBanner/0,treeBanner,12
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnInsert/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnInsert/0,btnInsert,10
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,loadTags/0,panelTag,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,loadTags/0,tags,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,createTree/0,refreshmentPointManager,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,createTree/0,bannerManager,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,createTree/0,treeBanner,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getSearchPanel/0,panelTag,5
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getSearchPanel/0,bannerHelp,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getSearchPanel/0,namePR,5
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getSearchPanel/0,panelSearch,11
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,OpenDialog/1[javax.swing.tree.DefaultMutableTreeNode],JDesktopPane,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,Banner/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,Banner/0,textGuide,3
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getHelpPanel/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getHelpPanel/0,textGuide,8
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getHelpPanel/0,helpPanel,7
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnReplace/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnReplace/0,btnReplace,10
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnDelete/0,bannerHelp,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBtnDelete/0,btnDelete,10
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getJContentPane/0,jContentPane,7
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getBannerToolbar/0,bannerToolbar,9
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner,getRightPanel/0,rightPanel,6
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner$1ModalAdapter,ModalAdapter/1[java.awt.Component],glass,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/Banner.java,unisa.gps.etour.gui.operatoragency.Banner$1ModalAdapter,internalFrameClosed/1[javax.swing.event.InternalFrameEvent],glass,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerDialog.java,unisa.gps.etour.gui.operatoragency.BannerDialog,getSelectedBanner/0,preview,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerDialog.java,unisa.gps.etour.gui.operatoragency.BannerDialog,setSelectedBanner/1[javax.swing.ImageIcon],preview,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerDialog.java,unisa.gps.etour.gui.operatoragency.BannerDialog,BannerDialog/0,preview,4
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerDialog.java,unisa.gps.etour.gui.operatoragency.BannerDialog,BannerDialog/0,that,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerDialog.java,unisa.gps.etour.gui.operatoragency.BannerDialog,BannerDialog/0,btnLoad,5
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerNode.java,unisa.gps.etour.gui.operatoragency.tables.BannerNode,setID/1[int],id,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerNode.java,unisa.gps.etour.gui.operatoragency.tables.BannerNode,getID/0,id,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BannerNode.java,unisa.gps.etour.gui.operatoragency.tables.BannerNode,"BannerNode/2[javax.swing.ImageIcon,int]",id,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BeanBanner.java,unisa.gps.etour.bean.BeanBanner,setId/1[int],id,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BeanBanner.java,unisa.gps.etour.bean.BeanBanner,getIdRefreshmentPoint/0,idRefreshmentPoint,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BeanBanner.java,unisa.gps.etour.bean.BeanBanner,getId/0,id,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BeanBanner.java,unisa.gps.etour.bean.BeanBanner,setPathFile/1[java.lang.String],filepath,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/BeanBanner.java,unisa.gps.etour.bean.BeanBanner,setIdRefreshmentPoint/1[int],idRefreshmentPoint,1
