file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getSearchResultNumber/0,false,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getPageResultRefreshmentPoint/1[int],false,21,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",false,25,2,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,AdvancedSearch/1[int],true,7,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getSearchPageNumber/0,false,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getPageResultCulturalHeritage/1[int],false,17,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,clearNews/1[int],false,45,1,3,1,13,2,0,1,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,30,1,0,true
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,getAllNews/0,false,131,2,2,1,8,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,26,1,0,true
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,modifyNews/1[unisa.gps.etour.bean.BeanNews],false,107,3,3,2,11,1,0,1,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,24,1,0,true
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,insertNews/1[unisa.gps.etour.bean.BeanNews],false,74,3,4,4,17,2,1,1,4,0,0,0,0,1,1,0,0,1,0,2,0,0,0,37,1,0,true
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,AdvertisementAgencyManager/0,true,31,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],false,117,3,5,5,20,1,4,1,5,0,0,1,0,1,0,0,0,4,0,3,0,0,0,33,1,0,true
