file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getPageResultRefreshmentPoint/1[int],pPage,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pElementsPerPage,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pIdTourist,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pKeyword,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pSiteType,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pTagsId,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pMaxRadius,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,"search/7[int,java.lang.String,int[],double,int,unisa.gps.etour.control.SearchManager.Point3D,byte]",pUserPosition,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,AdvancedSearch/1[int],pIdTourist,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvancedSearch.java,unisa.gps.etour.control.SearchManager.AdvancedSearch,getPageResultCulturalHeritage/1[int],pPage,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,clearNews/1[int],pNewsID,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,clearNews/1[int],e,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,getAllNews/0,e,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,modifyNews/1[unisa.gps.etour.bean.BeanNews],e,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,modifyNews/1[unisa.gps.etour.bean.BeanNews],pNews,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,insertNews/1[unisa.gps.etour.bean.BeanNews],numNews,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,insertNews/1[unisa.gps.etour.bean.BeanNews],e,0
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementAgencyManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementAgencyManager,insertNews/1[unisa.gps.etour.bean.BeanNews],pNews,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],toReturn,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],e,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],imageFile,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],icon,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],banner,3
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],listBanner,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,getBannersID/1[int],pIdRefreshmentPoint,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",e,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",buffImg,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",imgfile,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",banner,2
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",pBannerID,1
/work/Papiere/finegrained-traceability/datasets/eTour/code/AdvertisementManager.java,unisa.gps.etour.control.AdvertisementManager.AdvertisementManager,"modifyBanner/2[int,javax.swing.ImageIcon]",pImage,2
