file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,class,8,6,1,15,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,1,34,5,0,0,1,0,6,2,6,3,6,1,0,0,0,48,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,class,7,2,1,13,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,1,22,1,0,0,0,0,1,0,6,1,6,0,0,0,0,72,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,class,7,2,1,11,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,1,22,1,0,0,0,0,1,0,6,0,6,0,0,0,0,68,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,class,6,4,2,9,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,25,3,0,0,0,0,1,0,5,1,5,0,0,0,0,86,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,class,7,2,1,11,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,1,22,1,0,0,0,0,1,0,6,0,6,0,0,0,0,58,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,class,7,2,1,11,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,1,22,1,0,0,0,0,1,0,6,0,6,0,0,0,0,67,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,class,7,11,1,15,0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,6,0,0,6,0,0,0,0,0,76,1,0,3,0,0,12,4,18,0,12,1,0,0,0,62,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,class,7,2,1,11,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,1,22,1,0,0,0,0,1,0,6,0,6,0,0,0,0,68,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,class,5,6,2,7,0,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,2,0,0,1,1,0,0,0,1,29,3,0,0,1,0,10,0,6,2,4,2,0,0,0,146,1025,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,class,5,5,1,5,0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,2,21,2,0,0,1,0,2,0,3,1,3,2,0,0,0,108,1,0
