file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,getName/1[long],personnelDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,getName/1[long],patientDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],apptDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],loggedInMID,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],validator,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",apptDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",personnelDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",patientDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",personnelDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",authDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],loggedInMID,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],personnelDAO,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],authDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],loggedInMID,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],personnelDAO,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],authDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",transDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",personnelDAO,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",authDAO,1
