file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,getName/1[long],false,58,2,2,2,4,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],false,33,5,3,9,15,3,0,1,9,0,0,0,0,1,0,6,1,0,3,1,0,0,0,18,1,0,false
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",true,25,1,1,4,7,0,0,2,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,1,0,false
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",true,42,1,1,3,6,0,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],false,57,6,1,10,10,1,2,1,10,0,0,0,0,0,0,1,0,2,1,0,0,0,0,26,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],false,53,6,1,8,10,1,2,1,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,26,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",true,38,1,1,3,6,0,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,"AddOfficeVisitAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",true,34,1,1,2,6,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,getAllOfficeVisits/0,false,66,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,addEmptyOfficeVisit/1[long],false,49,3,1,4,8,1,2,1,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0,26,1,0,true
