file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,getName/1[long],mid,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],e,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,addAppt/1[edu.ncsu.csc.itrust.beans.ApptBean],appt,7
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddApptAction.java,edu.ncsu.csc.itrust.action.AddApptAction,"AddApptAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,"AddERespAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],p,5
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],newMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddERespAction.java,edu.ncsu.csc.itrust.action.AddERespAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],pwd,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],p,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],newMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],pwd,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddHCPAction.java,edu.ncsu.csc.itrust.action.AddHCPAction,"AddHCPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,"AddOfficeVisitAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",factory,5
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,"AddOfficeVisitAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",pidString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,addEmptyOfficeVisit/1[long],visitID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,addEmptyOfficeVisit/1[long],loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddOfficeVisitAction.java,edu.ncsu.csc.itrust.action.AddOfficeVisitAction,addEmptyOfficeVisit/1[long],ov,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,"AddPatientAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,"AddPatientAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,addPatient/1[edu.ncsu.csc.itrust.beans.PatientBean],p,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,addPatient/1[edu.ncsu.csc.itrust.beans.PatientBean],newMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPatientAction.java,edu.ncsu.csc.itrust.action.AddPatientAction,addPatient/1[edu.ncsu.csc.itrust.beans.PatientBean],pwd,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,"AddPHAAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,"AddPHAAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],p,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],newMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddPHAAction.java,edu.ncsu.csc.itrust.action.AddPHAAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],pwd,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"AddRemoteMonitoringDataAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,long]",patientMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"AddRemoteMonitoringDataAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"AddRemoteMonitoringDataAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,addRemoteMonitoringData/1[int],role,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,addRemoteMonitoringData/1[int],glucoseLevel,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,addRemoteMonitoringData/1[int],m,6
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/2[int,int]",role,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/2[int,int]",diastolicBloodPressure,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/2[int,int]",systolicBloodPressure,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/2[int,int]",m,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/3[int,int,int]",role,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/3[int,int,int]",glucoseLevel,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/3[int,int,int]",diastolicBloodPressure,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/3[int,int,int]",systolicBloodPressure,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,"addRemoteMonitoringData/3[int,int,int]",m,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddRemoteMonitoringDataAction.java,edu.ncsu.csc.itrust.action.AddRemoteMonitoringDataAction,getPatientName/1[long],pid,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,"AddUAPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",factory,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,"AddUAPAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,long]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],p,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],newMID,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/AddUAPAction.java,edu.ncsu.csc.itrust.action.AddUAPAction,add/1[edu.ncsu.csc.itrust.beans.PersonnelBean],pwd,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,"OfficeVisitBaseAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String,java.lang.String]",factory,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,"OfficeVisitBaseAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String,java.lang.String]",ovIDString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,"OfficeVisitBaseAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String,java.lang.String]",pidString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,checkOfficeVisitID/1[java.lang.String],input,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,checkOfficeVisitID/1[java.lang.String],e,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,checkOfficeVisitID/1[java.lang.String],ovID,3
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,encode/1[java.lang.String],str,5
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/OfficeVisitBaseAction.java,edu.ncsu.csc.itrust.action.base.OfficeVisitBaseAction,encode/1[java.lang.String],input,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,checkPatientID/1[java.lang.String],input,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,checkPatientID/1[java.lang.String],e,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,checkPatientID/1[java.lang.String],pid,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,"PatientBaseAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",factory,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PatientBaseAction.java,edu.ncsu.csc.itrust.action.base.PatientBaseAction,"PatientBaseAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",pidString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,checkPersonnelID/1[java.lang.String],input,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,checkPersonnelID/1[java.lang.String],e,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,checkPersonnelID/1[java.lang.String],pid,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,"PersonnelBaseAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",factory,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,"PersonnelBaseAction/2[edu.ncsu.csc.itrust.dao.DAOFactory,java.lang.String]",pidString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChangeSessionTimeoutAction.java,edu.ncsu.csc.itrust.action.ChangeSessionTimeoutAction,ChangeSessionTimeoutAction/1[edu.ncsu.csc.itrust.dao.DAOFactory],factory,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChangeSessionTimeoutAction.java,edu.ncsu.csc.itrust.action.ChangeSessionTimeoutAction,changeSessionTimeout/1[java.lang.String],e,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChangeSessionTimeoutAction.java,edu.ncsu.csc.itrust.action.ChangeSessionTimeoutAction,changeSessionTimeout/1[java.lang.String],minutes,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChangeSessionTimeoutAction.java,edu.ncsu.csc.itrust.action.ChangeSessionTimeoutAction,changeSessionTimeout/1[java.lang.String],minuteString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChronicDiseaseRiskAction.java,edu.ncsu.csc.itrust.action.ChronicDiseaseRiskAction,"ChronicDiseaseRiskAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,java.lang.String]",factory,4
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChronicDiseaseRiskAction.java,edu.ncsu.csc.itrust.action.ChronicDiseaseRiskAction,"ChronicDiseaseRiskAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,java.lang.String]",loggedInMID,2
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChronicDiseaseRiskAction.java,edu.ncsu.csc.itrust.action.ChronicDiseaseRiskAction,"ChronicDiseaseRiskAction/3[edu.ncsu.csc.itrust.dao.DAOFactory,long,java.lang.String]",pidString,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DeclareHCPAction.java,edu.ncsu.csc.itrust.action.DeclareHCPAction,undeclareHCP/1[java.lang.String],confirm,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DeclareHCPAction.java,edu.ncsu.csc.itrust.action.DeclareHCPAction,undeclareHCP/1[java.lang.String],input,1
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DeclareHCPAction.java,edu.ncsu.csc.itrust.action.DeclareHCPAction,undeclareHCP/1[java.lang.String],e,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DeclareHCPAction.java,edu.ncsu.csc.itrust.action.DeclareHCPAction,undeclareHCP/1[java.lang.String],hcpID,2
