file,ID,text,functional,Function,Behavior,Data,OnlyF,F,OnlyQ,Q,UserRelated
SMOS1.txt,SMOS1.txt.name,Login,1,1,1,1,1,1,0,0,0
SMOS1.txt,SMOS1.txt.description,allows a user to log in to the system,1,1,0,0,1,1,0,0,0
SMOS1.txt,SMOS1.txt.actor,registered user,0,0,0,0,0,0,0,0,1
SMOS1.txt,SMOS1.txt.flow_of_events.0,Check that username and password have length,1,1,1,0,1,1,0,0,0
SMOS1.txt,SMOS1.txt.flow_of_events.1,If the condition is respected goes to point two otherwise it notifies the user error,1,0,1,0,1,1,0,0,0
SMOS1.txt,SMOS1.txt.flow_of_events.2,Search in the archive if Username and password entered by the user are present among the loggable users,1,0,1,1,1,1,0,0,0
SMOS1.txt,SMOS1.txt.flow_of_events.3,If the search was successful the user is logged in to the system,1,1,1,0,1,1,0,0,0
SMOS1.txt,SMOS1.txt.postcondition,The system displays the registered user workspace Interruption of the connection to the SMOS server,1,0,1,0,1,1,0,0,0
SMOS1.txt,SMOS1.txt.precondition,The user is not logged in to the system the user has username and password fills out and submits the form for the login,0,0,0,0,0,0,0,0,1
SMOS10.txt,SMOS10.txt.name,Assign Remove Roles To A User,1,1,1,1,1,1,0,0,0
SMOS10.txt,SMOS10.txt.description,Allows you to assign or remove roles to a user,1,1,0,1,1,1,0,0,0
SMOS10.txt,SMOS10.txt.actor,Administrator,0,0,0,0,0,0,0,0,1
SMOS10.txt,SMOS10.txt.flow_of_events.0,Select the roles to be assigned or removed to the user,1,0,0,0,1,1,0,0,1
SMOS10.txt,SMOS10.txt.flow_of_events.1,Click on the Send '' button,1,0,0,0,1,1,0,0,1
SMOS10.txt,SMOS10.txt.flow_of_events.2,Displays the role management form,1,1,1,0,1,1,0,0,0
SMOS10.txt,SMOS10.txt.flow_of_events.3,Assign or remove the user 's roles as indicated by the administrator,1,1,0,1,1,1,0,0,0
SMOS10.txt,SMOS10.txt.precondition,The user is logged in as an administrator The user has carried out the case of use viewdet Tailsente '' and the system is Viewing the details of a user The user click on the User Roles '' button,0,0,0,0,0,0,0,0,1
SMOS10.txt,SMOS10.txt.postcondition,User roles are modified The administrator interrupts the connection to the SMOS server interrupted,1,1,1,1,1,1,0,0,1
SMOS11.txt,SMOS11.txt.name,Assign Remove Teachers To A Teacher,1,1,1,1,1,1,0,0,0
SMOS11.txt,SMOS11.txt.description,Allows you to assign or remove teachers to a teacher,1,1,0,1,1,1,0,0,0
SMOS11.txt,SMOS11.txt.actor,Administrator,0,0,0,0,0,0,0,0,1
SMOS11.txt,SMOS11.txt.flow_of_events.0,Select the academic year,1,0,0,0,1,1,0,0,1
SMOS11.txt,SMOS11.txt.flow_of_events.1,Select the desired class,1,0,0,0,1,1,0,0,1
