file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,ottenerePoolPropertiesPath/0,poolPropertiesPath,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,settarePoolPropertiesPath/1[java.lang.String],poolPropertiesPath,3
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereDataAssenza/0,dataAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareDataAssenza/1[java.util.Date],dataAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdAssenza/1[int],idAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereIdGiustificare/0,idGiustificare,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereAnnoAccademico/0,annoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareAnnoAccademico/1[int],annoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdUtente/1[int],idUtente,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdGiustificare/1[java.lang.Integer],idGiustificare,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereIdAssenza/0,idAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereIdUtente/0,idUtente,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareIdClasse/1[int],idClasse,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,ottenereAnnoAccademico/0,annoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareAnnoAccademico/1[int],annoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareNome/1[java.lang.String],nome,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,toString/0,idClasse,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,toString/0,nome,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,toString/0,annoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,ottenereNome/0,nome,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,ottenereIdIndirizzo/0,idIndirizzo,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,Classe/0,idIndirizzo,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,Classe/0,idClasse,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,ottenereIdClasse/0,idClasse,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareIdIndirizzo/1[int],idIndirizzo,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,clearWarnings/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setAutoCommit/1[boolean],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setAutoCommit/1[boolean],connessione,2
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,chiudereConnessioneAvvolta/0,LOGGER,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,chiudereConnessioneAvvolta/0,connessione,2
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,closeAndReleaseStatements/0,dichiarazioni,3
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,prepareCall/1[java.lang.String],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,prepareCall/1[java.lang.String],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,cacheStatement/1[java.sql.Statement],dichiarazioni,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,cacheStatement/1[java.sql.Statement],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareCall/3[java.lang.String,int,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareCall/3[java.lang.String,int,int]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,java.lang.String[]]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,java.lang.String[]]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,commit/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,commit/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,releaseSavepoint/1[java.sql.Savepoint],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,releaseSavepoint/1[java.sql.Savepoint],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getMetaData/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getMetaData/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,int[]]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,int[]]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareCall/4[java.lang.String,int,int,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareCall/4[java.lang.String,int,int,int]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,nativeSQL/1[java.lang.String],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,nativeSQL/1[java.lang.String],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,toString/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,isClosed/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,isClosed/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getTypeMap/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getTypeMap/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getAutoCommit/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getAutoCommit/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,rollback/1[java.sql.Savepoint],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,rollback/1[java.sql.Savepoint],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setSavepoint/1[java.lang.String],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setSavepoint/1[java.lang.String],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"createStatement/3[int,int,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"createStatement/3[int,int,int]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setCatalog/1[java.lang.String],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setCatalog/1[java.lang.String],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,cachePreparedStatement/1[java.sql.PreparedStatement],dichiarazioni,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,cachePreparedStatement/1[java.sql.PreparedStatement],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"ConnessioneWrapper/2[java.sql.Connection,smos.storage.connectionManagement.PoolDiConnessioneDataSorgente]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"ConnessioneWrapper/2[java.sql.Connection,smos.storage.connectionManagement.PoolDiConnessioneDataSorgente]",LOGGER,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"ConnessioneWrapper/2[java.sql.Connection,smos.storage.connectionManagement.PoolDiConnessioneDataSorgente]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getTransactionIsolation/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getTransactionIsolation/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/4[java.lang.String,int,int,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/4[java.lang.String,int,int,int]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getHoldability/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getHoldability/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setSavepoint/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setSavepoint/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getWarnings/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getWarnings/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setTransactionIsolation/1[int],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,setTransactionIsolation/1[int],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/2[java.lang.String,int]",connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getCatalog/0,manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,getCatalog/0,connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,prepareStatement/1[java.lang.String],manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,prepareStatement/1[java.lang.String],connessione,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/3[java.lang.String,int,int]",manager,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,"prepareStatement/3[java.lang.String,int,int]",connessione,1
