file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,AdattatoreEccezione/1[java.lang.Exception],true,42,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,buildLabel/0,false,46,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,0,false
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,AdattatoreEccezione/0,true,20,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,"AdattatoreEccezione/2[java.lang.String,java.lang.Exception]",true,35,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,AdattatoreEccezione/1[java.lang.String],true,27,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,ottenerePoolPropertiesPath/0,false,18,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,settarePoolPropertiesPath/1[java.lang.String],false,25,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,ottenereDataAssenza/0,false,56,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareDataAssenza/1[java.util.Date],false,63,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdAssenza/1[int],false,35,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
