file,class,method,variable,usage
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,AdattatoreEccezione/1[java.lang.Exception],pEccezioneGenitore,1
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,"AdattatoreEccezione/2[java.lang.String,java.lang.Exception]",pMessaggio,1
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,"AdattatoreEccezione/2[java.lang.String,java.lang.Exception]",pEccezioneGenitore,1
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,AdattatoreEccezione/1[java.lang.String],pMessaggio,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,settarePoolPropertiesPath/1[java.lang.String],poolPropertiesPath,2
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareDataAssenza/1[java.util.Date],pDataAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdAssenza/1[int],pIdAssenza,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareAnnoAccademico/1[int],pAnnoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdUtente/1[int],pIdUtente,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,settareIdGiustificare/1[java.lang.Integer],pIdGiustificare,1
/work/Papiere/finegrained-traceability/datasets/smos/code/AutorizzazioneEccezione.java,smos.exception.AutorizzazioneEccezione,AutorizzazioneEccezione/1[java.lang.String],pMessaggio,1
/work/Papiere/finegrained-traceability/datasets/smos/code/CampoObbligatorioEccezione.java,smos.exception.CampoObbligatorioEccezione,CampoObbligatorioEccezione/1[java.lang.String],pMessaggio,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareIdClasse/1[int],pIdClasse,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareAnnoAccademico/1[int],pAnnoAccademico,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareNome/1[java.lang.String],pNome,1
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,settareIdIndirizzo/1[int],pIdIndirizzo,1
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneEccezione.java,smos.exception.ConnessioneEccezione,ConnessioneEccezione/1[java.lang.String],pMessaggio,1
