file,ID,text
SMOS28.txt,SMOS28.txt.name,View Details Single Register
SMOS28.txt,SMOS28.txt.description,View the details of one of the class registers
SMOS28.txt,SMOS28.txt.actor,Administrator
SMOS28.txt,SMOS28.txt.precondition,The user must be logged in to the system as an administrator the user must have carried out the case of use Viewing El Coregistri '' click on the Details '' button associated with one of the registers
SMOS28.txt,SMOS28.txt.postcondition,The system is displaying the details of a class registry Connection to the interrupted SMOS server
SMOS28.txt,SMOS28.txt.flow_of_events.0,Review the information contained in the registry organized by date
SMOS28.txt,SMOS28.txt.flow_of_events.1,In particular for today 's date the list of students specifying absent present late and a form from which it is possible to manage justifications and disciplinary notes
SMOS30.txt,SMOS30.txt.name,Insert Delay Admin
SMOS30.txt,SMOS30.txt.description,Register digitization data entry by the administrator
SMOS30.txt,SMOS30.txt.actor,Administrator
SMOS30.txt,SMOS30.txt.precondition,The user must be logged in to the system as an administrator the user took the case of use Several Tet Tingloregister '' selects the date on which he wants to enter the information
SMOS30.txt,SMOS30.txt.postcondition,The delay data has been entered in the system and the system sent notifications to parents The system remains on the registry screen The administrator interrupts the operation Connection to the interrupted SMOS server
SMOS30.txt,SMOS30.txt.flow_of_events.0,Fill out the form by entering students with delay and click Save ''
SMOS30.txt,SMOS30.txt.flow_of_events.1,Update the screen displayed according to the date
SMOS30.txt,SMOS30.txt.flow_of_events.2,Send data to the server
SMOS30.txt,SMOS30.txt.flow_of_events.3,Displays the updated log data
SMOS64.txt,SMOS64.txt.name,View Registers List
SMOS64.txt,SMOS64.txt.description,View the list of registers for an academic year
SMOS64.txt,SMOS64.txt.actor,Direction
SMOS64.txt,SMOS64.txt.precondition,The user must be logged in to the system as direction the user click on the Digital Register '' button
SMOS64.txt,SMOS64.txt.postcondition,The system is viewing the list of registers related to a particular academic year the direction interrupts the operation connection to the SMOS server interrupted
SMOS64.txt,SMOS64.txt.flow_of_events.0,Select the academic year
