;lemma
use;use
case;case
name;name
modify;modify
password;password
description;description
the;the
agency;agency
operator;operator
chooses;choose
to;to
change;change
associated;associate
with;with
your;your
account;account
participating;participate
actor;actor
initialization;initialization
entry;entry
conditions;condition
has;have
logged;log
flow;flow
of;of
events;event
user;user
system;system
choose;choose
by;by
pressing;press
appropriate;appropriate
button;button
upload;upload
form;form
that;that
work;work
entering;enter
new;new
choice;choice
and;and
confirming;confirm
save;save
changes;change
exit;exit
confirms;confirm
success;success
operation;operation
interruption;interruption
connection;connection
server;server
quality;quality
requirements;requirement
refreshment;refreshment
point;point
data;datum
restaurants;restaurant
restaurant;restaurant
successfully;successfully
authenticated;authenticate
enable;enable
functionality;functionality
information;information
required;require
rest;rest
refreshments;refreshment
displays;display
them;they
in;in
a;a
submit;submit
verify;verify
entered;enter
asks;ask
for;for
confirmation;confirmation
where;where
is;be
invalid;invalid
or;or
insufficient;insufficient
activates;activate
errored;errore
confirm;confirm
stores;store
modified;modify
notification;notification
been;be
changing;change
selected;select
cancels;cancel
etour;etour
search;search
research;research
cultural;cultural
heritage;heritage
all;all
initialized;initialize
guest;guest
logs;log
on;on
activate;activate
corresponding;correspond
fill;fill
out;out
gets;get
position;position
citing;cite
location;location
process;process
list;list
sites;site
meet;meet
criteria;criterion
insert;insert
preference;preference
site;site
inserts;insert
bookmarks;bookmark
tourist;tourist
card;card
particular;particular
feature;feature
insertion;insertion
from;from
prompt;prompt
inclusion;inclusion
input;input
about;about
favorites;favorite
delete;delete
object;object
view;view
as;as
result;result
it;it
selects;select
function;function
elimination;elimination
shall;shall
notify;notify
successful;successful
blocks;block
controls;control
receipt;receipt
cancellation;cancellation
avoid;avoid
multiple;multiple
submissions;submission
before;before
end;end
tourists;tourist
obtained;obtain
activating;activate
loads;load
allowing;allow
edit;edit
fields;field
reporting;report
returns;return
objects;object
according;accord
certain;certain
parameters;parameter
show;show
processing;process
request;request
goods;good
should;should
return;return
results;result
within;within
set;set
time;time
report;report
statistic;statistic
statistical;statistical
relating;relate
places;place
select;select
midsize;midsize
feedback;feedback
prepare;prepare
menu;menu
daily;daily
editing;edit
seven;seven
days;day
week;week
day;day
into;into
are;be
active;active
saves;save
modification;modification
advanced;advanced
searching;search
using;use
potential;potential
offered;offer
personal;personal
area;area
relying;rely
event;event
transaction;transaction
more;more
than;than
seconds;second
good;good
memorize;memorize
proper;proper
will;will
not;not
accept;accept
duplicates;duplicate
access;access
accounts;account
pertaining;pertain
designated;designate
points;point
an;an
functional;functional
once;once
we;we
receive;receive
banner;banner
inserting;insert
receives;receive
turning;turn
one;one
banners;banner
selection;selection
image;image
sends;send
check;check
characteristics;characteristic
inserted;insert
number;number
did;do
exceed;exceed
maximum;maximum
valid;valid
remember;remember
eating;eat
already;already
allowed;allow
login;login
ensures;ensure
registered;register
privileges;privilege
fall;fall
correctness;correctness
if;if
corrected;correct
error;error
ad;ad
bar;bar
computer;computer
accessing;access
removal;removal
enter;enter
message;message
deletion;deletion
removes;remove
released;release
he;he
issued;issue
cancel;cancel
reading;read
recovers;recover
previous;previous
state;state
control;control
interaction;interaction
registration;registration
requires;require
creation;creation
have;have
logging;log
create;create
recording;record
viewing;view
statistics;statistic
display;display
shows;show
screen;screen
comment;comment
changed;change
convention;convention
require;require
conclude;conclude
between;between
involved;involve
agreement;agreement
send;send
call;call
deleting;delete
containing;contain
calls;call
localization;localization
current;current
began;begin
gps;gps
calculates;calculate
hold;hold
until;until
detectable;detectable
picture;picture
bookmark;bookmark
this;this
load;load
history;history
conventions;convention
derived;derive
features;feature
historical;historical
concerning;concern
regarding;regard
details;detail
preferences;preference
tourism;tourism
remove;remove
specific;specific
removed;remove
tag;tag
present;present
latter;latter
existing;exist
instead;instead
activation;activation
decide;decide
displaying;display
's;be
disposal;disposal
issue;issue
visitor;visitor
selecting;select
vote;vote
then;then
cheide;cheide
visited;visit
combination;combination
logout;logout
ends;end
session;session
previously;previously
made;make
disconnection;disconnection
disconnects;disconnect
inactive;inactive
disable;disable
deactivation;deactivation
given;give
sheet;sheet
you;you
outcome;outcome
which;which
included;include
wants;want
put;put
less;less
specified;specify
checked;check
performs;perform
found;find
limit;limit
supplied;supply
incorrect;incorrect
notice;notice
news;news
amendment;amendment
placement;placement
commentary;commentary
alterations;alteration
tags;tag
generic;generic
general;general
preferred;prefer
deletes;delete
located;locate
following;follow
areas;area
chosen;choose
database;database
was;be
asked;ask
its;its
but;but
confirmed;confirm
correct;correct
way;way
pressed;press
back;back
